x	y	Avg_Tot_auto	Count	Avg_total_viag	viag_auto_viag_total
331784.0048	7383862	0.7	10	4.5	0.155555556
332284.0048	7383862	0	10	5.4	0
332784.0048	7383862	4	2	5	0.8
333284.0048	7383862	7	2	8.5	0.823529412
333775.75	7383879.849	0	0	0	0
334169.6581	7383864.096	0	0	0	0
321953.3993	7384521.348	0	0	0	0
322294.3551	7384488.352	0.571429	14	6.071429	0.094117711
322799.5275	7384436.664	0	0	0	0
323292.5593	7384384.3	0.807692	26	5.884615	0.137254859
323784.0407	7384362.037	0.8	5	5.2	0.153846154
324284.0048	7384362	1.333333	3	8	0.166666625
324784.0048	7384362	1.4	5	7.2	0.194444444
325284.0048	7384362	0.285714	7	5.428571	0.05263153
325784.0048	7384362	0	2	3	0
326284.0048	7384362	1.428571	7	5.285714	0.270270204
326784.0048	7384362	1.526316	19	6.894737	0.221374071
327284.0048	7384362	1.5	2	2.5	0.6
327784.0048	7384362	1.125	8	4.5	0.25
328284.0048	7384362	2	1	2	1
328784.0048	7384362	2	12	7.5	0.266666667
329284.0048	7384362	2.833333	24	8.875	0.319248789
329784.0048	7384362	0.777778	9	6.222222	0.12500004
330284.0048	7384362	0.2	5	8.6	0.023255814
330784.0048	7384362	0	3	9.333333	0
331284.0048	7384362	0.545455	11	6.090909	0.089552315
331784.0048	7384362	1.444444	9	6.777778	0.213114682
332284.0048	7384362	1.5	8	8.375	0.179104478
332784.0048	7384362	4	4	7.75	0.516129032
333284.0048	7384362	6.142857	7	7	0.877551
333783.4345	7384361.479	10	1	16	0.625
334079.0244	7384265.045	0	0	0	0
322339.7639	7384827.848	0.666667	6	4.5	0.148148222
322784.0048	7384862	0.875	8	5.375	0.162790698
323284.0048	7384862	1	3	4	0.25
323784.0048	7384862	0	0	0	0
324284.0048	7384862	0	0	0	0
324784.0048	7384862	0	1	10	0
325284.0048	7384862	1.166667	6	6.333333	0.184210589
325784.0048	7384862	1	4	4.5	0.222222222
326284.0048	7384862	1	1	2	0.5
326784.0048	7384862	0.8	5	4.6	0.173913043
327284.0048	7384862	1.857143	14	5.142857	0.361111149
327784.0048	7384862	2.4	5	10	0.24
328284.0048	7384862	0.333333	3	3.333333	0.09999991
328784.0048	7384862	1	1	3	0.333333333
329284.0048	7384862	3.454545	11	6.090909	0.567164113
329784.0048	7384862	0.928571	14	6.285714	0.147727211
330284.0048	7384862	0.285714	7	3.142857	0.090909004
330784.0048	7384862	0	10	7	0
331284.0048	7384862	0	7	9.428571	0
331784.0048	7384862	1.5	2	6	0.25
332284.0048	7384862	0.333333	6	6	0.0555555
332784.0048	7384862	5.25	8	8.5	0.617647059
333284.0048	7384862	4.933333	15	7.666667	0.643478189
333781.7645	7384863.59	2	1	2	1
334202.0372	7385020.66	0	0	0	0
334949.3037	7385069.757	2	1	6	0.333333333
335372.9156	7384989.577	3.333333	3	5.333333	0.624999977
335599.8967	7384944.647	0	0	0	0
322419.2232	7385397.173	0	0	0	0
322784.0048	7385362	0.666667	9	5.333333	0.12500007
323284.0048	7385362	0.75	8	5.25	0.142857143
323784.0048	7385362	3	5	10.6	0.283018868
324284.0048	7385362	0	0	0	0
324784.0048	7385362	0	0	0	0
325284.0048	7385362	0	4	6	0
325784.0048	7385362	1.333333	3	4.666667	0.285714194
326284.0048	7385362	1.375	8	6.75	0.203703704
326784.0048	7385362	2.5	6	6.5	0.384615385
327284.0048	7385362	1	18	6.944444	0.144000009
327784.0048	7385362	1.5	16	4	0.375
328284.0048	7385362	4.285714	14	8.642857	0.495867744
328784.0048	7385362	1.6	10	5.5	0.290909091
329284.0048	7385362	2.916667	12	6.416667	0.454545483
329784.0048	7385362	1.25	16	6.0625	0.206185567
330284.0048	7385362	0.142857	14	5	0.0285714
330784.0048	7385362	1.666667	6	10.5	0.15873019
331284.0048	7385362	0	1	11	0
331784.0048	7385362	3.333333	3	6.666667	0.499999925
332284.0048	7385362	6	2	9	0.666666667
332784.0048	7385362	4.416667	12	6.666667	0.662500017
333284.0048	7385362	4.5	6	8.333333	0.540000022
333784.0048	7385362	3	2	5	0.6
334284.0048	7385362	2.4	5	3.2	0.75
334785.999	7385369.713	4	1	10	0.4
335284.0048	7385362	6	4	7	0.857142857
335686.2868	7385390.679	3.333333	3	3.666667	0.909090736
322008.8926	7386061.108	0	0	0	0
322309.446	7385880.084	0	1	4	0
322784.0048	7385862	1.166667	6	4.166667	0.280000058
323284.0048	7385862	2.470588	17	6.941176	0.355932194
323784.0048	7385862	0.818182	11	4.181818	0.195652226
324284.0048	7385862	5.5	2	7	0.785714286
324784.0048	7385862	0	0	0	0
325284.0048	7385862	0	0	0	0
325784.0048	7385862	3.5	4	4	0.875
326284.0048	7385862	3.857143	7	9	0.428571444
326784.0048	7385862	2.75	8	6.625	0.41509434
327284.0048	7385862	1.222222	9	7.888889	0.154929547
327784.0048	7385862	0.909091	11	4.545455	0.2
328284.0048	7385862	2.833333	6	4.666667	0.607142742
328784.0048	7385862	2.4	10	7.1	0.338028169
329284.0048	7385862	1.818182	11	8.363636	0.217391336
329784.0048	7385862	1.384615	13	6.153846	0.224999943
330284.0048	7385862	2.571429	7	11.285714	0.227848145
330784.0048	7385862	0	0	0	0
331284.0048	7385862	0	0	0	0
331784.0048	7385862	5.6	5	7.2	0.777777778
332284.0048	7385862	7.333333	6	8.833333	0.830188673
332784.0048	7385862	8	5	9.8	0.816326531
333284.0048	7385862	4.5	6	9.166667	0.490909073
333784.0048	7385862	4.333333	3	5.333333	0.812499988
334284.0048	7385862	5.111111	9	6.666667	0.766666612
334784.0048	7385862	5.8	5	6.8	0.852941176
335284.0048	7385862	2	6	2.666667	0.749999906
335667.1198	7385836.647	4.857143	7	6.428571	0.755555628
321921.9825	7386413.354	2	4	7.25	0.275862069
322284.0048	7386362	3	2	9	0.333333333
322784.0048	7386362	0.666667	6	7.833333	0.085106429
323284.0048	7386362	2.214286	14	6.928571	0.31958769
323784.0048	7386362	3.2	5	6	0.533333333
324284.0048	7386362	1.333333	3	2.333333	0.57142851
324784.0048	7386362	0	0	0	0
325284.0048	7386362	0	0	0	0
325784.0048	7386362	0	0	0	0
326284.0048	7386362	1	2	4	0.25
326784.0048	7386362	0	2	4	0
327284.0048	7386362	1	5	5.6	0.178571429
327784.0048	7386362	3.272727	22	6.954545	0.470588227
328284.0048	7386362	3.473684	19	7.736842	0.448979571
328784.0048	7386362	2.727273	22	5.454545	0.500000092
329284.0048	7386362	2.055556	18	8.888889	0.231250047
329784.0048	7386362	1.4375	16	7.8125	0.184
330284.0048	7386362	0.944444	18	9	0.104938222
330784.0048	7386362	0	0	0	0
331284.0048	7386362	5	3	6	0.833333333
331784.0048	7386362	3	11	5.818182	0.515624984
332284.0048	7386362	2	1	4	0.5
332784.0048	7386362	4.833333	6	6	0.8055555
333284.0048	7386362	3.666667	12	6.833333	0.536585441
333784.0048	7386362	2.285714	7	6.714286	0.340425475
334284.0048	7386362	2.538462	13	6	0.423077
334784.0048	7386362	0.666667	12	4.5	0.148148222
335284.0048	7386362	2.368421	19	6.684211	0.354330676
335599.6718	7386294.862	0	0	0	0
321522.0012	7387055.029	0	0	0	0
321816.8826	7386880.105	0.5	20	6.45	0.07751938
322284.0048	7386862	0.666667	6	5.5	0.121212182
322784.0048	7386862	0.625	8	6.25	0.1
323284.0048	7386862	0.5	4	5	0.1
323784.0048	7386862	0.4	5	7.8	0.051282051
324284.0048	7386862	0	6	5.333333	0
324784.0048	7386862	0	1	6	0
325284.0048	7386862	0	0	0	0
325784.0048	7386862	0	0	0	0
326284.0048	7386862	0	2	7	0
326784.0048	7386862	0	1	2	0
327284.0048	7386862	2.8	15	7.333333	0.381818199
327784.0048	7386862	1.5625	16	5.375	0.290697674
328284.0048	7386862	2.625	8	6.625	0.396226415
328784.0048	7386862	0.2	10	3.3	0.060606061
329284.0048	7386862	0.461538	26	7.307692	0.063157834
329784.0048	7386862	0.76	25	6.56	0.115853659
330284.0048	7386862	0.347826	23	4.956522	0.070175417
330784.0048	7386862	3	1	10	0.3
331284.0048	7386862	4.2	10	6.1	0.68852459
331784.0048	7386862	4.6	15	5.666667	0.811764658
332284.0048	7386862	4	5	5.4	0.740740741
332784.0048	7386862	2	15	5.8	0.344827586
333284.0048	7386862	3	13	5.461538	0.549295821
333784.0048	7386862	5.6	5	9.2	0.608695652
334284.0048	7386862	1.285714	7	5.285714	0.243243202
334784.0048	7386862	1.909091	11	6.545455	0.29166666
335284.0048	7386862	0.666667	15	5.6	0.119047679
335601.3338	7386928.323	0	1	5	0
321895.2099	7387201.744	0	3	2	0
322336.8614	7387284.846	1	8	4.5	0.222222222
322784.0104	7387361.989	3.5	4	6.5	0.538461538
323284.0048	7387362	1.111111	9	7.333333	0.151515143
323784.0048	7387362	0.416667	12	6.333333	0.06578953
324284.0048	7387362	0.909091	11	5.818182	0.156250011
324784.0048	7387362	1.166667	6	7.666667	0.15217395
325284.0048	7387362	1	7	4.857143	0.205882347
325784.0048	7387362	1	16	6.9375	0.144144144
326284.0048	7387362	1.714286	7	5.142857	0.333333398
326784.0048	7387362	0	0	0	0
327284.0048	7387362	3.285714	7	7.285714	0.450980371
327784.0048	7387362	2.583333	12	6.333333	0.407894706
328284.0048	7387362	2.708333	24	4.875	0.555555487
328784.0048	7387362	0.9	20	4.75	0.189473684
329284.0048	7387362	0.25	16	5.0625	0.049382716
329784.0048	7387362	0.666667	12	7.666667	0.086956561
330284.0048	7387362	2.833333	12	6	0.472222167
330784.0048	7387362	3.363636	11	5.454545	0.616666651
331284.0048	7387362	2.833333	6	3.5	0.809523714
331784.0048	7387362	7	3	9	0.777777778
332284.0048	7387362	4.7	10	7.8	0.602564103
332784.0048	7387362	3.3	10	6	0.55
333284.0048	7387362	4.071429	14	7.714286	0.527777814
333784.0048	7387362	4.666667	6	7	0.666666714
334284.0048	7387362	2.923077	13	5.615385	0.520547923
334784.0048	7387362	3.666667	6	6.333333	0.578947452
335284.0048	7387362	2.555556	9	7.555556	0.338235333
335696.9431	7387390.104	3.125	8	8.125	0.384615385
322498.7539	7387620.757	0	0	0	0
322882.3911	7387896.638	3.555556	9	8.333333	0.426666737
323284.0048	7387862	8.8	5	10	0.88
323784.0048	7387862	3.473684	19	6.894737	0.503816752
324284.0048	7387862	0.25	40	5.2	0.048076923
324784.0048	7387862	0.375	8	3.75	0.1
325284.0048	7387862	2	5	8.4	0.238095238
325784.0048	7387862	0.681818	44	5.068182	0.134529107
326284.0048	7387862	1.478261	46	5.934783	0.249084255
326784.0048	7387862	0	0	0	0
327284.0048	7387862	2.666667	6	4.166667	0.640000029
327784.0048	7387862	1.111111	9	4.222222	0.263157882
328284.0048	7387862	3.190476	21	5.380952	0.592920361
328784.0048	7387862	1.307692	13	5.076923	0.257575701
329284.0048	7387862	3.416667	12	7.083333	0.482353011
329784.0048	7387862	2.25	8	4.25	0.529411765
330284.0048	7387862	3.210526	19	5.631579	0.570093397
330784.0048	7387862	2.8	5	7.4	0.378378378
331284.0048	7387862	2	2	3	0.666666667
331784.0048	7387862	3.4	5	4.4	0.772727273
332284.0048	7387862	5	10	7	0.714285714
332784.0048	7387862	8.166667	6	10.166667	0.803278695
333284.0048	7387862	3.117647	17	6	0.519607833
333784.0048	7387862	1.538462	13	4.692308	0.327868929
334284.0048	7387862	2.083333	12	6.833333	0.304878015
334784.0048	7387862	1.882353	17	5.941176	0.316831718
335284.0048	7387862	2.428571	14	7.642857	0.317756959
335776.0901	7387868.19	1.083333	12	3.333333	0.324999932
336060.7735	7388030.655	0	1	2	0
322884.7012	7388381.379	2.85	20	7	0.407142857
323284.0048	7388362	2.833333	24	6.375	0.444444392
323784.0048	7388362	3.12	25	5.92	0.527027027
324284.0048	7388362	1.521739	23	6.043478	0.25179855
324784.0048	7388362	0.2	10	3.8	0.052631579
325284.0048	7388362	0.5	8	3.25	0.153846154
325784.0048	7388362	0.75	16	5.5625	0.134831461
326284.0048	7388362	1.047619	21	6.333333	0.165413535
326784.0048	7388362	3	2	5	0.6
327284.0048	7388362	3.5625	16	5	0.7125
327784.0048	7388362	1.636364	11	3.545455	0.461538505
328284.0048	7388362	5	3	6.333333	0.789473726
328784.0048	7388362	3.466667	15	4.733333	0.732394488
329284.0048	7388362	3.363636	33	5.575758	0.603260758
329784.0048	7388362	3.333333	9	8.444444	0.394736823
330284.0048	7388362	4.5	2	7.5	0.6
330784.0048	7388362	3	7	7	0.428571429
331284.0048	7388362	6.25	4	7.75	0.806451613
331784.0048	7388362	3.375	8	6.625	0.509433962
332284.0048	7388362	2.5	24	5.375	0.465116279
332784.0048	7388362	5.727273	11	7.818182	0.732558157
333284.0048	7388362	3.454545	11	4.909091	0.703703598
333784.0048	7388362	3.461538	13	5.692308	0.608107994
334284.0048	7388362	1.458333	24	5.916667	0.246478803
334784.0048	7388362	1.176471	17	6.235294	0.188679315
335284.0048	7388362	2.5	10	8.2	0.304878049
335784.0048	7388362	3.214286	14	8.142857	0.394736884
336140.3764	7388421.821	2	3	7.666667	0.260869554
322445.7724	7388964.105	2	1	2	1
322788.7105	7388866.898	1.777778	9	7.111111	0.250000035
323284.0048	7388862	1.47619	21	6.190476	0.238461469
323784.0048	7388862	2.647059	17	7.470588	0.354330743
324284.0048	7388862	0.1875	16	4.4375	0.042253521
324784.0048	7388862	0.8	10	5.4	0.148148148
325284.0048	7388862	2.333333	3	7.333333	0.318181787
325784.0048	7388862	2	1	2	1
326284.0048	7388862	1.222222	9	7.111111	0.171874971
326784.0048	7388862	0	8	6.375	0
327284.0048	7388862	1.571429	7	3.285714	0.478261042
327784.0048	7388862	1.545455	11	3.818182	0.404762005
328284.0048	7388862	5.3	10	6.5	0.815384615
328784.0048	7388862	4.842105	19	7.052632	0.686567086
329284.0048	7388862	2.8125	16	6.75	0.416666667
329784.0048	7388862	3.95	20	6.9	0.572463768
330284.0048	7388862	3.2	10	6.5	0.492307692
330784.0048	7388862	2.454545	11	7	0.350649286
331284.0048	7388862	4.111111	9	5.222222	0.787234055
331784.0048	7388862	2.214286	14	5.571429	0.397435918
332284.0048	7388862	3.157895	19	7.052632	0.447761205
332784.0048	7388862	3.083333	12	6.666667	0.462499927
333284.0048	7388862	5.888889	9	7.888889	0.746478877
333784.0048	7388862	2.928571	14	4.5	0.650793556
334284.0048	7388862	2.666667	9	5.222222	0.510638383
334784.0048	7388862	1.814815	27	6.592593	0.27528091
335284.0048	7388862	3.833333	6	5.5	0.696969636
335784.0048	7388862	3	10	7.4	0.405405405
336274.6202	7388871.715	2.214286	14	5.428571	0.407894822
336708.7559	7388947.11	3	4	6	0.5
322364.145	7389388.338	0.333333	6	6.666667	0.049999948
322784.0048	7389362	0.222222	9	6.111111	0.036363601
323284.0048	7389362	1.6	10	7.5	0.213333333
323784.0048	7389362	3	8	8.125	0.369230769
324284.0048	7389362	0	3	6	0
324784.0048	7389362	0.875	16	5.25	0.166666667
325284.0048	7389362	0	1	4	0
325784.0048	7389362	0	0	0	0
326284.0048	7389362	2	10	4.7	0.425531915
326784.0048	7389362	0.8	5	7.8	0.102564103
327284.0048	7389362	0	0	0	0
327784.0048	7389362	5	1	12	0.416666667
328284.0048	7389362	2.741935	31	5.354839	0.512048075
328784.0048	7389362	2.7	20	5.25	0.514285714
329284.0048	7389362	2.9	20	5.55	0.522522523
329784.0048	7389362	2.909091	11	6.181818	0.470588264
330284.0048	7389362	4.416667	12	7.166667	0.616279088
330784.0048	7389362	2.753425	73	5.383562	0.511450411
331284.0048	7389362	3.25	8	5.5	0.590909091
331784.0048	7389362	4	14	5.857143	0.682926813
332284.0048	7389362	4	33	7.727273	0.517647041
332784.0048	7389362	4.95	20	8.7	0.568965517
333284.0048	7389362	4.4	15	8	0.55
333784.0048	7389362	3.851852	27	6.925926	0.556149748
334284.0048	7389362	4	15	6.333333	0.631578981
334784.0048	7389362	1.785714	14	6.285714	0.284090877
335284.0048	7389362	1.789474	19	4.894737	0.365591451
335784.0048	7389362	3.571429	7	7.428571	0.480769316
336284.0048	7389362	3.172414	29	4.724138	0.671532881
336780.0882	7389364.939	3.454545	11	5.181818	0.666666602
337039.8474	7389403.957	0	0	0	0
322417.96	7389711.503	0	0	0	0
322807.1248	7389826.218	1.666667	3	5.666667	0.294117689
323284.0048	7389862	0.666667	6	6.333333	0.105263216
323784.0048	7389862	0	2	4	0
324284.0048	7389862	1.833333	18	6.555556	0.279660947
324784.0048	7389862	2.48	25	6.36	0.389937107
325284.0048	7389862	1.5	4	7	0.214285714
325784.0048	7389862	1.8	5	8.8	0.204545455
326284.0048	7389862	1.818182	11	4.636364	0.392156871
326784.0048	7389862	1.352941	17	6.294118	0.214953231
327284.0048	7389862	1.25	4	4.75	0.263157895
327784.0048	7389862	3	2	6	0.5
328284.0048	7389862	3.461538	26	5.230769	0.661764647
328784.0048	7389862	2.952381	21	4.666667	0.632653026
329284.0048	7389862	3.465753	73	5.410959	0.640506239
329784.0048	7389862	3.214286	28	5.607143	0.573248444
330284.0048	7389862	4	1	17	0.235294118
330784.0048	7389862	5.375	24	7.083333	0.758823565
331284.0048	7389862	3.933333	45	5.733333	0.686046493
331784.0048	7389862	3.5	8	7	0.5
332284.0048	7389862	3.45	20	5.5	0.627272727
332784.0048	7389862	2.230769	13	4.461538	0.5
333284.0048	7389862	3.478261	23	6.130435	0.567375888
333784.0048	7389862	3.62963	27	7.148148	0.507772083
334284.0048	7389862	3.066667	30	6.766667	0.453201997
334784.0048	7389862	4.5	6	5.666667	0.7941176
335284.0048	7389862	2.125	16	6.125	0.346938776
335784.0048	7389862	0.4	5	4.2	0.095238095
336284.0048	7389862	3.117647	17	7.058824	0.441666629
336766.4592	7389856.698	3.583333	12	6.25	0.57333328
320910.7158	7390520.75	0	0	0	0
321281.7324	7390540.569	0	0	0	0
321639.1781	7390561.399	0	0	0	0
322912.9895	7390403.47	5.25	4	9.5	0.552631579
323284.0048	7390362	0	3	5.333333	0
323784.0048	7390362	0.666667	3	5.333333	0.12500007
324284.0048	7390362	1.44	25	6.04	0.238410596
324784.0048	7390362	2.111111	36	6	0.351851833
325284.0048	7390362	2	2	4	0.5
325784.0048	7390362	2	5	4.2	0.476190476
326284.0048	7390362	0.6	5	6.2	0.096774194
326784.0048	7390362	1.108108	37	4.837838	0.229050249
327284.0048	7390362	0.666667	18	4.722222	0.141176548
327784.0048	7390362	3.333333	3	7.666667	0.434782546
328284.0048	7390362	9.5	2	12	0.791666667
328784.0048	7390362	2.5	10	5.6	0.446428571
329284.0048	7390362	4.363636	22	6.909091	0.631578886
329784.0048	7390362	1.347826	23	3.826087	0.352272701
330284.0048	7390362	1.714286	7	4.857143	0.352941225
330784.0048	7390362	0	0	0	0
